Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
2003,40,46.4,55.7,61.7,69,74.4,77.9,79.1,72.1,63.5,57.6,43.2
2004,42.8,43.7,58.3,62,72.9,75.9,79.5,76.8,72.2,67,56.4,44.6
2005,46.8,48.8,52.1,60.4,66.7,75.3,79.4,79.6,76.6,64.4,55.2,41.8
2006,49.4,44.2,54.2,65.9,69.8,77.2,81,81,71.9,61.7,53.8,50.1
2007,46.1,45.3,60.2,60.3,71.6,79.6,78.4,85.6,75.8,66,53.2,50.7
2008,42.2,48.3,54,61.3,69.5,79.8,79.8,78.2,74.5,62,50.6,48.5
2009,43.9,47.7,55,60.7,70.2,79.8,78.1,78.9,73.5,61,53.8,42.3
2010,38.5,39.6,50.7,65.2,73.4,81.4,82.3,82.8,78,65.3,54.6,38.3
2011,40.2,50,55.8,65.3,70.9,81.3,82.4,83,73.2,62.1,55.7,50.4
2012,49.1,51.3,64.5,65.8,73.9,77.4,83.8,79,74.3,63.4,52.8,51.1
2013,49.9,46.6,49.1,62.1,68.1,77.5,77.5,77.5,74.4,64.4,50.6,48.1
2014,37,47.3,52.5,62.7,71.2,78.2,77.9,79,75.8,66.2,49,50
2015,43.1,40.4,57.6,65.7,73.1,79.6,81.3,79.9,73.5,64.1,57.7,57.6
2016,42.4,48.5,60.5,64.1,71.1,81,83.4,82.7,78.8,69.6,58.9,48.9
2017,52,56.1,57.7,67.8,71.1,76.6,81.2,M,M,M,M,M
