1984,10,1800
1984,11,1653
1984,12,1055
1985,1,1010
1985,2,944.4
1985,3,1126
1985,4,984.4
1985,5,961.6
1985,6,1359
1985,7,1846
1985,8,1702
1985,9,1937
1985,10,1403
1985,11,1319
1985,12,1287
1986,1,1087
1986,2,960.2
1986,3,981.8
1986,4,982.2
1986,5,1056
1986,6,1164
1986,7,2271
1986,8,1280
1986,9,1069
1986,10,1044
1986,11,1032
1986,12,994.4
1987,1,874.8
1987,2,784.3
1987,3,685.5
1987,4,1522
1987,5,1089
1987,6,1238
1987,7,1762
1987,8,2909
1987,9,2707
1987,10,1882
1987,11,1351
1987,12,1033
1988,1,858.8
1988,2,847.4
1988,3,962.5
1988,4,917
1988,5,1010
1988,6,1214
1988,7,1317
1988,8,1257
1988,9,1160
1988,10,1054
1988,11,1046
1988,12,974.1
1989,1,818.6
1989,2,802.4
1989,3,729.3
1989,4,705.2
1989,5,826.4
1989,6,784.1
1989,7,1225
1989,8,2363
1989,9,2226
1989,10,2430
1989,11,2163
1989,12,1838
1990,1,3002
1990,2,5846
1990,3,5077
1990,4,3856
1990,5,2185
1990,6,2078
1990,7,2304
1990,8,2781
1990,9,2193
1990,10,2208
1990,11,1767
1990,12,1368
1991,1,1056
1991,2,1017
1991,3,778.6
1991,4,1151
1991,5,3647
1991,6,1858
1991,7,2115
1991,8,2385
1991,9,3405
1991,10,3983
1991,11,1615
1991,12,1011
1992,1,1132
1992,2,1034
1992,3,1921
1992,4,2047
1992,5,2134
1992,6,1467
1992,7,2461
1992,8,1635
1992,9,1296
1992,10,2263
1992,11,1952
1992,12,4900
1993,1,5833
1993,2,3508
1993,3,3520
1993,4,3935
1993,5,2448
1993,6,2312
1993,7,2487
1993,8,1978
1993,9,1898
1993,10,2047
1993,11,1151
1993,12,1189
1994,1,1002
1994,2,986.8
1994,3,844.2
1994,4,812.8
1994,5,1066
1994,6,1764
1994,7,1320
1994,8,3793
1994,9,3137
1994,10,1258
1994,11,1598
1994,12,2289
1995,1,2337
1995,2,3401
1995,3,4058
1995,4,1281
1995,5,2029
1995,6,1829
1995,7,2178
1995,8,2246
1995,9,2524
1995,10,1317
1995,11,1503
1995,12,1724
1996,1,2773
1996,2,6504
1996,3,4226
1996,4,2535
1996,5,2873
1996,6,2228
1996,7,2221
1996,8,2449
1996,9,1788
1996,10,1572
1996,11,1164
1996,12,1014
1997,1,995.4
1997,2,1529
1997,3,3090
1997,4,2103
1997,5,2254
1997,6,2432
1997,7,1674
1997,8,1799
1997,9,2477
1997,10,1811
1997,11,1216
1997,12,1343
1998,1,2569
1998,2,5325
1998,3,4404
1998,4,3357
1998,5,3654
1998,6,2335
1998,7,2645
1998,8,1731
1998,9,1722
1998,10,1337
1998,11,1208
1998,12,963
1999,1,801
1999,2,786
1999,3,860.7
1999,4,910.9
1999,5,982.8
1999,6,1523
1999,7,985.3
1999,8,1320
1999,9,1428
1999,10,1097
1999,11,1024
1999,12,1066
2000,1,828.4
2000,2,857.4
2000,3,866.4
2000,4,859.7
2000,5,1073
2000,6,1883
2000,7,1841
2000,8,1974
2000,9,1113
2000,10,1168
2000,11,958.2
2000,12,968.9
2001,1,863.6
2001,2,769.7
2001,3,598.9
2001,4,628.9
2001,5,791.3
2001,6,697
2001,7,1002
2001,8,1148
2001,9,952.4
2001,10,869.2
2001,11,776.1
2001,12,747.4
2002,1,585.2
2002,2,592.7
2002,3,515.6
2002,4,564.4
2002,5,608
2002,6,799.7
2002,7,887.1
2002,8,1032
2002,9,1096
2002,10,971.8
2002,11,788.7
2002,12,766.7
2003,1,961.9
2003,2,1494
2003,3,3191
2003,4,1883
2003,5,4025
2003,6,2976
2003,7,3483
2003,8,2246
2003,9,1591
2003,10,1380
2003,11,1747
2003,12,2089
2004,1,2107
2004,2,1370
2004,3,1229
2004,4,931.5
2004,5,912.9
2004,6,955.8
2004,7,1612
2004,8,1558
2004,9,2923
2004,10,2495
2004,11,1485
2004,12,3652
2005,1,1978
2005,2,1762
2005,3,2410
2005,4,2983
2005,5,1906
2005,6,2750
2005,7,3139
2005,8,3185
2005,9,2090
2005,10,1245
2005,11,1289
2005,12,2164
2006,1,2446
2006,2,1823
2006,3,1554
2006,4,1761
2006,5,2193
2006,6,1540
2006,7,1145
2006,8,1243
2006,9,1191
2006,10,1199
2006,11,960.7
2006,12,962.6
2007,1,847.3
2007,2,867.8
2007,3,902.2
2007,4,922.6
2007,5,1128
2007,6,1525
2007,7,1147
2007,8,1284
2007,9,1486
2007,10,1704
2007,11,2011
2007,12,927.1
2008,1,702.6
2008,2,653.2
2008,3,588.5
2008,4,522.1
2008,5,729.9
2008,6,965.6
2008,7,913.8
2008,8,993.8
2008,9,976.7
2008,10,929.6
2008,11,919.6
2008,12,621.1
2009,1,593.6
2009,2,672.8
2009,3,577.7
2009,4,522.2
2009,5,609.8
2009,6,870.9
2009,7,986.1
2009,8,971.4
2009,9,895.7
2009,10,1391
2009,11,3417
2009,12,4808
2010,1,3023
2010,2,4907
2010,3,3203
2010,4,1472
2010,5,2670
2010,6,1387
2010,7,1281
2010,8,1442
2010,9,1127
2010,10,1191
2010,11,1167
2010,12,964
2011,1,999.9
2011,2,1160
2011,3,3026
2011,4,2815
2011,5,2479
2011,6,1856
2011,7,1253
2011,8,1303
2011,9,1754
2011,10,1773
2011,11,1679
2011,12,893.9
2012,1,657.5
2012,2,669.9
2012,3,616
2012,4,1469
2012,5,1075
2012,6,1041
2012,7,1101
2012,8,1085
2012,9,1057
2012,10,1237
2012,11,2755
2012,12,1277
2013,1,621.6
2013,2,536
2013,3,569.7
2013,4,1426
2013,5,4213
2013,6,2547
2013,7,3737
2013,8,3119
2013,9,2157
2013,10,1578
2013,11,1355
2013,12,3739
2014,1,3557
2014,2,2759
2014,3,1855
2014,4,2949
2014,5,2164
2014,6,1374
2014,7,1314
2014,8,1656
2014,9,1164
2014,10,1108
2014,11,1330
2014,12,1040
2015,1,1148
2015,2,1445
2015,3,1644
2015,4,1770
2015,5,1760
2015,6,1775
2015,7,1667
2015,8,1269
